yayasan,urls
AJ5740,https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2899B7F2-492D-45B0-90FE-B9F87ADAE561
AJ5739,https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D23EE1EA-98C2-436C-B57F-5AC249F930B0
AJ5723,https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=B801BC5B-7470-43B6-92C4-6EB0E92529CE
AJ5738,https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9509361B-9957-4E34-8398-8299989113EF
AJ5733,https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0C02FECC-4050-48EE-A2DD-35A1BD1D5FAC
